topic,mentions,positive_ratio,neutral_ratio,negative_ratio,mean_sentiment
T4:环境/不错/服务,6621,0.9761365352665761,0.01797311584352817,0.0058903488898957865,0.9702461863766803
T5:小时/房间/ktv,5589,0.4576847378779746,0.28931830381105744,0.25299695831096797,0.20468777956700662
T3:服务/环境/设施,5462,0.9188941779567924,0.06700842182350787,0.014097400219699744,0.9047967777370927
T1:不错/方便/位置,4934,0.863599513579246,0.124037292257803,0.012363194162950952,0.8512363194162951
T6:不错/朋友/唱歌,4704,0.9132653061224489,0.08014455782312925,0.006590136054421769,0.9066751700680272
T2:ktv/氛围/朋友,2680,0.9492537313432836,0.04552238805970149,0.0052238805970149255,0.9440298507462687
