model,term,coef,se_hc3,z,p_value,ci_low,ci_high,n_obs
M1_main_th0.75,Intercept,0.27804214241182024,0.5815845141557742,0.4780769357570448,0.6325954472833293,-0.8618635053334971,1.4179477901571376,248
M1_main_th0.75,rating_f,0.5334164978216727,0.16187783329999483,3.295179376597169,0.0009835887334426197,0.2161359445536828,0.8506970510896625,248
M1_main_th0.75,pkg_official,0.9861818244597558,0.43443276877417764,2.2700447464866826,0.023204868237003407,0.13469359766236766,1.837670051257144,248
M1_main_th0.75,pkg_inferred,0.8292451441582251,0.13588278461126874,6.102650505171892,1.0432379404790026e-09,0.5629148863201384,1.095575401996312,248
M1_main_th0.75,pos_rate,-0.6870366614319181,0.7360678615500343,-0.9333876634475003,0.3506198476199689,-2.1297296700699855,0.7556563472061493,248
M1_main_th0.75,is_core,0.8323672078412621,0.12847495495047048,6.478828563556815,9.243739107489546e-11,0.5805562961383399,1.0841781195441842,248
M2_missingIndicator_th0.75,Intercept,1.3034680271366597,1.861210067777866,0.7003336429896893,0.4837189661079362,-2.344503705707958,4.951439759981277,248
M2_missingIndicator_th0.75,rating_f,0.5115260906869992,0.16520554610055238,3.0963009581564678,0.0019595136715311323,0.1877232203299165,0.8353289610440818,248
M2_missingIndicator_th0.75,pkg_official,-0.3646776781231438,1.138416947340762,-0.3203375344812612,0.7487124726321523,-2.5959748949110373,1.8666195386647497,248
M2_missingIndicator_th0.75,pkg_inferred,0.8408599587019392,0.13752531082088018,6.114219656562004,9.703058356791416e-10,0.5713103494930141,1.1104095679108643,248
M2_missingIndicator_th0.75,pos_rate,-0.6434094241022308,0.7398954299630451,-0.8695950779605396,0.3845217285678093,-2.0936044668297993,0.8067856186253377,248
M2_missingIndicator_th0.75,is_core,0.8073156233829728,0.12842101777689752,6.286475822666463,3.247535573791538e-10,0.5556104285402537,1.059020818225692,248
M2_missingIndicator_th0.75,avg_price_f,0.004813736278826752,0.014669394117320857,0.3281482684288095,0.742799559783178,-0.023938276191122126,0.03356574874877563,248
M2_missingIndicator_th0.75,avg_price_missing,-1.4025747626894827,0.8499270127897304,-1.650229656878579,0.098895973279439,-3.0684317077573544,0.26328218237838885,248
M3_full_sample,Intercept,0.5207768343887409,0.2380146247926966,2.188003509616829,0.028669346671868823,0.054268169795055554,0.9872854989824262,493
M3_full_sample,rating_f,0.5156871853856408,0.09590880098962676,5.37684946594254,7.58004965462078e-08,0.3277059354459724,0.7036684353253093,493
M3_full_sample,pkg_official,1.1181129191668386,0.3577911846478184,3.1250432295147137,0.00177778931436956,0.4168421972571146,1.8193836410765627,493
M3_full_sample,pkg_inferred,0.744084860977055,0.08031705209359014,9.264344763310527,0.0,0.5866634388736183,0.9015062830804916,493
M3_full_sample,pos_rate,-0.4395556340114837,0.3262626479652404,-1.3472447328906807,0.17790142529859065,-1.0790304240233548,0.19991915600038745,493
M3_full_sample,is_core,0.3663070025263373,0.10189188053949197,3.59505586297199,0.0003243219776873918,0.16659891666893303,0.5660150883837416,493
