threshold,n_shops,core_n,noncore_n,core_avg_log_reviews,noncore_avg_log_reviews,core_noncore_gap,moran_i,moran_p_perm
0.0,493,303,190,5.4980430943103356,5.1554094190818835,0.342633675228452,0.08003457121257439,0.08
0.4,435,264,171,5.798307151736523,5.363185017588644,0.43512213414787926,0.05746211273506977,0.2
0.5,399,241,158,5.9098429828662224,5.514197072124902,0.3956459107413206,0.07223085475864395,0.07
0.6,339,203,136,6.266382437425245,5.676544461285489,0.5898379761397559,0.08269307582945626,0.03
0.75,248,138,110,6.685478378429298,5.744992003887045,0.9404863745422531,0.09221359531648755,0.005
0.82,193,97,96,6.7374861730316935,5.667812402712669,1.0696737703190244,0.13828426006772687,0.005
0.9,144,70,74,6.774801564342254,5.570961587903812,1.2038399764384415,0.15947779884295732,0.005
