term,coef,se,ci_low,ci_high
Intercept,0.7395402529720353,0.38465378993158134,-0.014381175293864068,1.4934616812379347
rating_f,0.506279309060622,0.06957464528581879,0.3699130043004172,0.6426456138208269
avg_price_f,-0.0032090026777117702,0.0036330633944403118,-0.010329806930814782,0.003911801575391241
package_count_f,0.7575333877557648,0.052186325115510857,0.6552481905293636,0.8598185849821661
pos_rate_f,-0.4193061546995966,0.35969492705891415,-1.1243082117350682,0.2856959023358751
core_dummy,0.3755869909411055,0.10390927860065084,0.17192480488382983,0.5792491769983812
