id,name,address,district,lng,lat,type,tel,source,crawl_time
B0ID0UKUXF,魅KTV(国贸呼家楼店),东三环北路38号院4号楼2层商业L201号(麦当劳旁商场西门入口),朝阳区,116.463268,39.921691,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:51
B0J29S455D,魅KTV(五棵松万达店),复兴路69号3号楼4层403,海淀区,116.276480,39.912173,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:51
B0L3M1P7IW,酷秀KTV(亦庄华联店),北京城区荣华街道北京经济技术开发区荣华中路8号院1号楼华联BHGMall4层F4-08,大兴区,116.501401,39.804712,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:51
B0L17A8AVE,星聚会KTV(北京超极合生汇店),北京城区北清路1号院15号楼地上2层10-L2-01,昌平区,116.293007,40.098309,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:51
B0FFJKJ5HS,魅KTV(方庄店),方庄镇蒲芳路1-6方庄方城园美食街比格比萨地下室,丰台区,116.436567,39.866249,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:51
B0L3M1OSLY,酷秀KTV·派对店(上地店),上地街道农大南路1号院1号华联商厦3A,海淀区,116.311744,40.028246,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:51
B0FFHGYWBK,唱吧麦颂KTV(东四北大街店),北京城区东四北大街343号3层,东城区,116.417110,39.928466,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:51
B0K2BREV2J,酷秀KTV.派对(万柳店),北京城区巴沟路2号1幢05层501,海淀区,116.294937,39.972946,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:51
B0FFLLW4HJ,唱吧麦颂KTV(中心鸟巢店),北京城区慧忠北里-214号楼3层,朝阳区,116.403693,40.005383,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:51
B0K6RHE12G,钱柜·PRTYWORLD(亚奥店),慧忠北里214号楼1层1003室-1层地下室101室,朝阳区,116.403718,40.005365,体育休闲服务;娱乐场所;KTV|体育休闲服务;运动场馆;健身中心,,高德地图,2026-02-06 09:34:52
B0FFI0NTQ8,纯K(国贸店),建国门外大街1号国贸商城3期北区裙楼四层,朝阳区,116.460797,39.911343,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0JALCBE3E,星聚会KTV(北京龙湖北苑天街店),北苑东路龙湖北苑天街B馆6F(北苑地铁站A2口步行420米),朝阳区,116.438772,40.042799,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
B0FFIUDLF1,唱吧麦颂KTV(驼房营路店),北京城区酒仙桥驼房营西里甲6号楼一层105室,朝阳区,116.503583,39.964807,体育休闲服务;娱乐场所;KTV,,高德地图,2026-02-06 09:34:52
