shop_id,name,address,district,lng,lat,rating,review_count,avg_price,price_level,packages,package_count,opening_hours,phone,tags,source,crawl_time
H5LaVWvXntwd9Gin,宝山量贩式KTV,方庄芳城园三区17号楼(方庄地铁站A西北口步行390米),丰台区,116.435291,39.866247,3.3,51.0,,,"[{""title"": ""套餐（评论提及）"", ""price_hint"": ""500,20,30"", ""mentions"": ""4"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": ""500,20,30"", ""mentions"": ""3"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""500,20,30"", ""mentions"": ""6"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": ""500,20,30"", ""mentions"": ""5"", ""source"": ""review_text""}]",4.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 方庄/蒲黄榆 / 量贩式KTV"", ""amap_best_name"": ""宝山商务俱乐部"", ""amap_best_score"": ""0.5244"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""97""}",search+review_api+offline_enriched,2026-02-14 23:48:12
G2vrGV7v8p2jYHRK,盛煌钱潮美食K歌轰趴(总部基地店),良乡凯旋大街11号,房山区,116.134911,39.719076,3.9,116.0,,,"[{""title"": ""套餐（评论提及）"", ""price_hint"": """", ""mentions"": ""9"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": """", ""mentions"": ""5"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": """", ""mentions"": ""3"", ""source"": ""review_text""}]",3.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 总部基地 / 饮品"", ""amap_best_name"": ""盛世辉煌KTV(房山店)"", ""amap_best_score"": ""0.4167"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""84""}",search+review_api+offline_enriched,2026-02-14 23:48:13
H9HhaT6BjrLkD76i,麦乐迪KTV北京安定门店,安定门外大街198号一二层,东城区,116.408725,39.953775,0.0,2.0,,,,,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 安定门商圈 / 停车场"", ""amap_best_name"": ""麦乐迪KTV(安定门店)"", ""amap_best_score"": ""0.8750"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""2""}",search+review_api+offline_enriched,2026-02-14 23:48:14
k9HAZekZySXtppRw,咏歌汇量贩KTV(三元桥店),美里食光商场(北京西站地铁站1东北入口步行370米),海淀区,116.322825,39.897475,3.8,104.0,,,"[{""title"": ""套餐（评论提及）"", ""price_hint"": """", ""mentions"": ""6"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": """", ""mentions"": ""7"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": """", ""mentions"": ""7"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": """", ""mentions"": ""5"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": """", ""mentions"": ""6"", ""source"": ""review_text""}]",5.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 亮马桥/三元桥 / 量贩式KTV"", ""amap_best_name"": ""咏歌汇量贩式KTV(北京西站店)"", ""amap_best_score"": ""0.7059"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:48:14
jaY67j48XFOM6hl0,尚野自助烧烤团建定制生日趴户外钓鱼KTV(上庄水库晋风庄园店),地盛西路6号院BDA国际·广场B座F3层,大兴区,116.499306,39.785646,4.6,1325.0,,,"[{""title"": ""套餐（评论提及）"", ""price_hint"": ""198"", ""mentions"": ""7"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""198"", ""mentions"": ""6"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": ""198"", ""mentions"": ""4"", ""source"": ""review_text""}]",3.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 上庄 / 融合烤肉"", ""amap_best_name"": ""乐派轰趴馆·KTV团建生日聚会(BDA国际·广场B座店)"", ""amap_best_score"": ""0.2745"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""100""}",search+review_api+offline_enriched,2026-02-14 23:48:15
G7XALTcYvS3tfoG6,音想时光KTV(昌平店),永安路与南环路交叉口南200米,昌平区,116.234133,40.210693,3.5,173.0,,,"[{""title"": ""套餐（评论提及）"", ""price_hint"": """", ""mentions"": ""3"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": """", ""mentions"": ""1"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": """", ""mentions"": ""4"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": """", ""mentions"": ""4"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": """", ""mentions"": ""11"", ""source"": ""review_text""}]",5.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 沙河 / 量贩式KTV"", ""amap_best_name"": ""欢乐颂KTV(昌平店)"", ""amap_best_score"": ""0.5882"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""84""}",search+review_api+offline_enriched,2026-02-14 23:48:16
k6paGlEi8DCA4Kl2,友唱(五道口购物中心店),中关村大街19号新中关购物中心L2层KF2-01,海淀区,116.315934,39.978375,3.4,75.0,,,"[{""title"": ""套餐（评论提及）"", ""price_hint"": ""30,57,12"", ""mentions"": ""3"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""30,57,12"", ""mentions"": ""22"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": ""30,57,12"", ""mentions"": ""6"", ""source"": ""review_text""}]",3.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 五道口 / KTV"", ""amap_best_name"": ""友唱·全民K歌(新中关购物中心店)"", ""amap_best_score"": ""0.6923"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""75""}",search+review_api+offline_enriched,2026-02-14 23:48:16
G9LGmvxPXkRseHhj,友唱(惠多港购物中心店),中关村大街19号新中关购物中心L2层KF2-01,海淀区,116.315934,39.978375,0.0,3.0,,,"[{""title"": ""欢唱时长（评论提及）"", ""price_hint"": """", ""mentions"": ""1"", ""source"": ""review_text""}]",1.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 富力又一城 / KTV"", ""amap_best_name"": ""友唱·全民K歌(新中关购物中心店)"", ""amap_best_score"": ""0.6923"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""4""}",search+review_api+offline_enriched,2026-02-14 23:48:17
k2lCD3hkIIpagwbS,友唱(悦茂购物中心店),中关村大街19号新中关购物中心L2层KF2-01,海淀区,116.315934,39.978375,0.0,5.0,,,"[{""title"": ""欢唱时长（评论提及）"", ""price_hint"": ""87,30"", ""mentions"": ""2"", ""source"": ""review_text""}]",1.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 清河商圈 / KTV"", ""amap_best_name"": ""友唱·全民K歌(新中关购物中心店)"", ""amap_best_score"": ""0.7200"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""5""}",search+review_api+offline_enriched,2026-02-14 23:48:18
H3pP3boKDvSjiGgw,炫影•影咖•KTV•电玩(大悦城店),朝阳北路雅成一里19号世丰国际大厦B1层,朝阳区,116.52163,39.924023,4.1,20.0,,,"[{""title"": ""团购（评论提及）"", ""price_hint"": """", ""mentions"": ""1"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": """", ""mentions"": ""1"", ""source"": ""review_text""}]",2.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 朝阳大悦城 / 私人影院"", ""amap_best_name"": ""魅KTV(朝阳大悦城店)"", ""amap_best_score"": ""0.5714"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""44""}",search+review_api+offline_enriched,2026-02-14 23:48:18
Fbpulc9Wkq96SZWs,圣乐嘉华KTV,马家堡路180号蓝光云鼎大厦加油站北100米,丰台区,116.379398,39.834848,0.0,1.0,,,,,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 昌平镇 / 停车场"", ""amap_best_name"": ""圣瑞华汗蒸洗浴"", ""amap_best_score"": ""0.3636"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""1""}",search+review_api+offline_enriched,2026-02-14 23:48:19
l4YFCFseNgKY96eH,黑佳林KTV,北京汇佳职业学院附近,昌平区,116.247763,40.194237,0.0,,,,,,,,"{""category"": """", ""region"": """", ""shop_region"": """", ""amap_best_name"": ""北京市私立汇佳学校音乐厅"", ""amap_best_score"": ""0.1538"", ""amap_min_score_applied"": ""0.00""}",search+review_api+offline_enriched,2026-02-14 23:48:19
H5nSes6tLp2bASnr,iU爱唱量贩式KTV(六里桥店),北三环东路33号苏宁易购西侧4层,东城区,116.409872,39.969401,3.4,248.0,,,"[{""title"": ""套餐（评论提及）"", ""price_hint"": """", ""mentions"": ""4"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": """", ""mentions"": ""2"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": """", ""mentions"": ""10"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": """", ""mentions"": ""4"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": """", ""mentions"": ""2"", ""source"": ""review_text""}]",5.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 六里桥/丽泽桥 / 量贩式KTV"", ""amap_best_name"": ""魅KTV·AI辅唱(安贞桥店)"", ""amap_best_score"": ""0.5714"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""70""}",search+review_api+offline_enriched,2026-02-14 23:48:20
k3LqiLxDEUJIEhYv,星樂汇量贩KTV,首创新大都东门旁(二里沟地铁站C口步行440米),西城区,116.336741,39.932992,3.7,33.0,,,"[{""title"": ""套餐（评论提及）"", ""price_hint"": """", ""mentions"": ""2"", ""source"": ""review_text""}, {""title"": ""团购（评论提及）"", ""price_hint"": """", ""mentions"": ""2"", ""source"": ""review_text""}, {""title"": ""欢唱时长（评论提及）"", ""price_hint"": """", ""mentions"": ""2"", ""source"": ""review_text""}, {""title"": ""酒水相关（评论提及）"", ""price_hint"": """", ""mentions"": ""4"", ""source"": ""review_text""}, {""title"": ""包厢相关（评论提及）"", ""price_hint"": """", ""mentions"": ""8"", ""source"": ""review_text""}]",5.0,,,"{""category"": """", ""region"": """", ""shop_region"": ""北京 / 西直门/动物园 / 量贩式KTV"", ""amap_best_name"": ""星樂汇量贩式KTV"", ""amap_best_score"": ""1.0000"", ""amap_min_score_applied"": ""0.00"", ""review_rows"": ""82""}",search+review_api+offline_enriched,2026-02-14 23:48:21
