id,name,address,district,lng,lat,type,keyword
B000A80P23,快客便利店(干面胡同店),朝阳门内南小街237号,东城区,116.426333,39.917165,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0FFICUHKE,便利蜂(通港大厦店),华远北街2号通港大厦1层101,西城区,116.372792,39.913134,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0L1C971CJ,牛奶便利店(北新华街店),北新华街与东松树胡同交叉口南40米,西城区,116.384325,39.900725,购物服务;综合市场;农副产品市场|购物服务;便民商店/便利店;便民商店/便利店,便利店
B0FFL4NFZ9,便利蜂(宣武门崇光百货店),宣武门外大街8号楼-01层(-1)-101-B1B40,西城区,116.375744,39.897572,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0FFJ8YQSG,LAWSON罗森(南锣鼓巷地铁站店),地铁六号线南锣鼓巷站地上一层110室,东城区,116.403597,39.933303,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0FFHQ8GGW,7-ELEVEn(太平街东侧店),太平街6号1层102号(小豆面馆、物美超市),西城区,116.388121,39.880322,购物服务;便民商店/便利店;7-ELEVEn便利店,便利店
B0FFK4GENG,便利蜂(白桥大街店),白桥大街24号楼2单元1层底商,东城区,116.439444,39.895600,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0J1197SOY,熊本便利店(东花市店),东花市北里中区14号楼一层底商14-2,东城区,116.433159,39.900332,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0FFHHXTP1,7-ELEVEn(南横街店),南华里10号楼10-12室,西城区,116.381967,39.882903,购物服务;便民商店/便利店;7-ELEVEn便利店,便利店
B0FFK32GN2,便利蜂(雅宝大厦店),雅宝大厦1层,朝阳区,116.436755,39.915354,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0FFFAGQRQ,7-ELEVEn(嘉华世纪店),建国路18号嘉华世纪1-102号,朝阳区,116.440920,39.905843,购物服务;便民商店/便利店;7-ELEVEn便利店,便利店
B0FFJF4WUE,好邻居(沙滩路口西店),五四大街38号,东城区,116.404818,39.924174,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0FFM3HH8Z,便利蜂(南门仓胡同店),南门仓2号楼2-5号1层,东城区,116.428080,39.929157,购物服务;便民商店/便利店;便民商店/便利店,便利店
B000A8WELD,香碧螺食品店,建国门街道大羊毛胡同36号,东城区,116.432724,39.903980,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0KDP775BO,LAWSON罗森(广播大厦店),建国门外大街甲14号广播大厦F1层,朝阳区,116.443484,39.907321,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0FFKP3428,友谊便利店(寿长街店),西经路1号附近,西城区,116.389903,39.885333,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0JAURQN8J,熊本便利店(宣武门店),椿树园小区15号楼(麦田房产旁边玻璃门),西城区,116.376881,39.892871,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0KUAL8F8B,笑颜兮美颜便利坊(二店),富贵园四区(广渠门内地铁站B东北口步行260米),东城区,116.433808,39.895105,生活服务;美容美发店;美容美发店|购物服务;购物相关场所;购物相关场所,便利店
B0KA9RKASH,京东便利店(前门大街店)(装修中),北京城区前门大街43号,东城区,116.398370,39.895760,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0KKP63HOL,全家便利店(东四奥林匹克社区体育文化中心店),朝阳门内大街辅路与朝阳门北小街交叉口东北40米,东城区,116.426666,39.924758,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0JRPRPJMI,便利蜂(南竹竿银河SOHOA座),南竹竿胡同2号银河SOHOC座B1,东城区,116.433308,39.921119,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0ID713VR0,幸福超市(葱店西街店),葱店西街与东唐街交叉口南20米,东城区,116.423059,39.890519,购物服务;便民商店/便利店;便民商店/便利店,便利店
B0FFKRVO5G,便利蜂(中信锦园4号楼店),菜市口大街6号院4号楼1层109-1号,西城区,116.376443,39.884779,购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,便利店
B0FFJN6I02,7-ELEVEn(悠唐购物中心店),三丰北里2号楼悠唐购物中心F1层F1-22-2,朝阳区,116.438243,39.921124,购物服务;便民商店/便利店;7-ELEVEn便利店,便利店
