id,name,address,district,lng,lat,type,facility_type,keyword
BX10015552,陶然亭地铁站A西北口,4号线/大兴线,西城区,116.373698,39.878768,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10015473,平安里地铁站B东北口,4号线/大兴线,西城区,116.373168,39.934511,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10026276,永定门外地铁站F西南口,8号线,东城区,116.399110,39.865723,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907264,牛街地铁站B口,19号线,西城区,116.364404,39.891080,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10020221,永定门外地铁站A西北口,14号线,东城区,116.398460,39.867881,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907286,张自忠路地铁站D西南口,5号线,东城区,116.416873,39.933157,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10014810,西单地铁站E西南口,1号线/八通线,西城区,116.375249,39.906797,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907376,国贸地铁站A西北口,1号线/八通线,朝阳区,116.458940,39.908890,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10019277,菜市口地铁站A西北口,4号线/大兴线,西城区,116.373929,39.890165,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10019280,菜市口地铁站E西北口,7号线,西城区,116.373498,39.889727,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907381,国贸地铁站E2西北口,10号线,朝阳区,116.460879,39.909947,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907340,东直门地铁站C东南口,2号线,东城区,116.435041,39.940862,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907385,国贸地铁站F东北口,10号线,朝阳区,116.463072,39.909752,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907384,国贸地铁站D西南口,1号线/八通线,朝阳区,116.458473,39.907903,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09906876,东大桥地铁站B东北口,6号线,朝阳区,116.452586,39.923612,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10019224,西四地铁站A西北口,4号线/大兴线,西城区,116.372815,39.924859,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10015472,平安里地铁站C东南口,4号线/大兴线,西城区,116.373209,39.933228,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10020687,西单地铁站J1西南口,4号线/大兴线,西城区,116.373679,39.906287,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10020684,西单地铁站J2西南口,4号线/大兴线,西城区,116.373152,39.906906,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10020222,永定门外地铁站C东南口,14号线,东城区,116.400168,39.867025,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907341,东直门地铁站B1东北口,2号线,东城区,116.435105,39.941362,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907300,蒲黄榆地铁站C东南口,5号线,丰台区,116.422110,39.864916,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907380,国贸地铁站G东南口,10号线,朝阳区,116.463879,39.908803,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907005,东四十条地铁站B东北口,2号线;3号线,东城区,116.435245,39.933979,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907271,广安门内地铁站A西北口,7号线,西城区,116.357021,39.889803,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10015689,北海北地铁站A西北口,6号线,西城区,116.385117,39.933399,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10035757,北新桥地铁站E口,5号线;首都机场线,东城区,116.416413,39.940617,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907036,长椿街地铁站D1西南口,2号线,西城区,116.362405,39.899254,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10014907,永安里地铁站A1北口,1号线/八通线,朝阳区,116.449723,39.908620,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10019392,广渠门外地铁站A西北口,7号线,东城区,116.448075,39.894113,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907008,东四十条地铁站D西南口,2号线;3号线,东城区,116.433128,39.933327,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907032,长椿街地铁站B1东北口,2号线,西城区,116.363869,39.899630,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09906878,东大桥地铁站D1西南口,6号线,朝阳区,116.452358,39.923013,交通设施服务;地铁站;出入口,地铁站,地铁口
BX10015470,平安里地铁站H西南口,6号线,西城区,116.370222,39.932304,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907120,阜成门地铁站B东北口,2号线,西城区,116.357582,39.924261,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907031,长椿街地铁站A1西北口,2号线,西城区,116.362385,39.899579,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907338,东直门地铁站E口,首都机场线,东城区,116.435372,39.941358,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907299,蒲黄榆地铁站D西南口,5号线,丰台区,116.421313,39.864923,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09907295,蒲黄榆地铁站E西北口,5号线,丰台区,116.421981,39.866375,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09916618,东大桥地铁站E口,17号线,朝阳区,116.450171,39.923462,交通设施服务;地铁站;出入口,地铁站,地铁口
BX09906949,双井地铁站D西南口,10号线,朝阳区,116.460420,39.893160,交通设施服务;地铁站;出入口,地铁站,地铁口
