id,name,address,district,lng,lat,type,keyword
B0FFGEOL20,隆兴购物广场,南丰路与百沙路交汇处(沙河地铁站B1东口步行420米),昌平区,116.287989,40.150391,购物服务;商场;购物中心,购物中心
B0FFG8VUFQ,长楹天街购物中心-东区,常通路3号院(常营地铁站E东南口旁),朝阳区,116.601838,39.925091,购物服务;商场;购物中心,购物中心
B0FFGJE2EE,鸿坤广场,西红门欣旺北大街8号,大兴区,116.342529,39.791282,商务住宅;楼宇;商务写字楼,购物广场
B0FFF34LTH,闽龙广场,大羊坊路74号,朝阳区,116.476117,39.855686,购物服务;家居建材市场;家具建材综合市场,购物广场
B0FFG72KQY,百尚生活广场,马驹桥兴华中街潼关三区9号楼,通州区,116.544945,39.753013,购物服务;商场;普通商场,购物广场
B000A87E98,航天万源广场,东高地万源北路,丰台区,116.423550,39.802579,购物服务;商场;购物中心,购物广场
B0FFHGF62D,天键广场,枣园路印刷学院附属小学对面,大兴区,116.314836,39.752599,商务住宅;楼宇;商住两用楼宇,购物广场
B000A8VSPT,新业广场,成寿寺路2号,丰台区,116.447081,39.857384,购物服务;商场;购物中心,购物广场
B0FFFEFCZA,水城广场,北七家镇宏福创业园平西府街55号,昌平区,116.371638,40.107196,风景名胜;公园广场;城市广场|风景名胜;风景名胜;国家级景点,购物广场
B0FFLKRBO7,米蓝生活广场,西三环南路10号,丰台区,116.312643,39.879775,购物服务;商场;普通商场|生活服务;生活服务场所;生活服务场所,购物广场
B0FFIL2ZAQ,永辉广场,黄庄路与重聚路交叉口西南180米,石景山区,116.231931,39.894154,购物服务;商场;普通商场,购物广场
B000A85QMI,新城市广场,朝阳路十里堡乙2号,朝阳区,116.505605,39.915190,购物服务;商场;普通商场|商务住宅;楼宇;楼宇相关,购物广场
B0FFKTASJ3,天坛生活广场,樊家村辛庄路88号院115号,丰台区,116.319271,39.836153,购物服务;商场;普通商场,购物广场
B000A9ETNR,铭泽生活广场,周庄村52号,朝阳区,116.476869,39.864036,购物服务;商场;购物中心,购物广场
B000A64CA5,北京方庄购物中心,蒲方路24号(近方庄体育公园南门),丰台区,116.428819,39.865496,购物服务;商场;购物中心,购物广场
B0FFFVCTCV,鸿坤广场购物中心,欣旺北大街8号1幢,大兴区,116.340321,39.791545,购物服务;商场;购物中心,购物广场
B0FFFACYHM,Plus365购物中心(门头沟店),西北环线(润西山别墅区对面),门头沟区,116.110219,39.910928,购物服务;商场;购物中心,购物广场
B0G2HSOCLE,顶层家居智媒广场,西门地下一层物美入口时间驿站手机手表维修,丰台区,116.210173,39.845492,购物服务;商场;普通商场,购物广场
